mcdi_id,mcdi,alt,grammar,incl_reason,source
13,alligator,allie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
13,alligator,alligatorie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
14,animal,animalie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
14,animal,anymal,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
15,ant,antey,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
15,ant,antie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
16,bear,bearie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
16,bear,beary,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
17,bee,beie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
17,bee,bey,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
18,bird,biddy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
18,bird,birdie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
19,bug,bugee,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
19,bug,buggy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
20,bunny,bunnie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
21,butterfly,butterie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
21,butterfly,butterly,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
22,cat,catty,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
22,cat,caty,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
23,chicken,chickie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
23,chicken,chicky,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
24,cow,cowie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
24,cow,cowsy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
25,deer,deerie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
25,deer,deery,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
26,dog,doggy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
26,dog,dogy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
27,donkey,doney,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
27,donkey,donkay,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
28,duck,duckie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
28,duck,ducky,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
29,elephant,eleantie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
29,elephant,elie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
30,fish,fischie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
30,fish,fishy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
31,frog,froggie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
31,frog,frogy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
32,giraffe,giraffeie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
32,giraffe,giraffy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
33,goose,goosie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
33,goose,gosy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
34,hen,henie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
34,hen,henny,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
35,horse,horsey,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
35,horse,horsie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
36,kitty,kitie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
36,kitty,kittie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
37,lamb,lambie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
37,lamb,lamby,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
38,lion,lione,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
38,lion,lionie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
39,monkey,monkeyy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
39,monkey,monkie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
40,moose,moosie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
40,moose,moozy,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
41,mouse,mousey,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
41,mouse,mousie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
42,owl,owlie,"singular_noun, diminutive","ollama-suggested diminutive, pending manual review",llama3.1:latest
